#Supplementary Table 2 Summary of protein targets measured using the Olink Explore HT platform,,,,,,,,,,,,,,,,,,,,,,,,,,,
#sd - standard deviation; cv - coefficient of variation; p.dip - p-value of a dip test for multi-modal distribution: cis.pQTL - whehter or not a cis-pQTL was identified; med.pred = median (and 25th and 75th percentil) value of predicted correlation coefficient across all protein groups measued; Seer ID - best correlating Seer protein group; spear.seer = associated Spearman correlation coefficient; SomaLogic ID = best correlating aptamer ID; spear.soma = associated Spearman correlation coefficient
#
Olink ID,OlinkID_vendor,Assay,UniProt,Block,missing.per.olink,below.lod.per.olink,cv.olink,mean.cv.olink,sd.cv.olink,n.olink,mean.l2.olink,sd.l2.olink,median.l2.olink,min.l2.olink,max.l2.olink,faction.outlier.olink,p.dip.olink,cis.pQTL.olink,cis.pav.olink,med.pred,p25.pred,p75.pred,Seer ID,spear.seer,SomaLogic ID,spear.soma,correlation.cluster
ACSM5_40005,OID40005,ACSM5,Q6NUN0,1,0.00,91.72,72.89,-1.15,1.76,22.00,-0.30,1.39,-0.26,-8.15,6.56,0.02,0.99,FALSE,FALSE,0.02,0.02,0.02,,,,,
ACTA2_43323,OID43323,ACTA2,P62736,4,0.00,12.67,12.60,0.49,0.18,22.00,0.19,0.51,0.17,-1.74,3.41,0.01,0.99,FALSE,FALSE,0.19,0.19,0.20,,,seq.33356.112,0.04,
ACTG2_42086,OID42086,ACTG2,P63267,3,0.00,24.77,33.85,0.13,0.48,22.00,0.49,0.67,0.46,-2.06,6.72,0.01,0.61,FALSE,FALSE,0.15,0.15,0.15,prot.3099,0.05,,,
ACTN2_43324,OID43324,ACTN2,P35609,4,0.00,14.89,21.80,0.41,0.40,22.00,0.17,1.24,0.07,-2.36,6.46,0.01,0.98,FALSE,FALSE,0.53,0.50,0.53,prot.2540,0.10,seq.9844.138,0.86,
ACTN4_42087,OID42087,ACTN4,O43707,3,0.00,91.16,53.12,0.29,0.70,22.00,0.09,0.87,0.16,-7.24,2.18,0.01,0.98,FALSE,FALSE,0.04,0.03,0.04,prot.1264,-0.03,seq.25057.2,0.00,
ACTR5_40764,OID40764,ACTR5,Q9H9F9,2,0.14,73.10,55.03,-0.02,1.19,22.00,0.26,1.21,0.27,-7.57,7.14,0.00,1.00,FALSE,FALSE,0.00,0.00,0.00,,,seq.32155.99,-0.04,
ACVRL1_43325,OID43325,ACVRL1,P37023,4,0.00,0.00,7.07,0.28,0.10,22.00,0.22,0.29,0.20,-0.60,2.57,0.01,1.00,TRUE,FALSE,0.37,0.36,0.38,,,seq.16318.12,0.34,
ACY1_44437,OID44437,ACY1,Q03154,5,0.07,0.00,7.08,1.21,0.10,22.00,0.76,0.66,0.75,-1.31,2.72,0.00,0.99,FALSE,FALSE,0.69,0.68,0.70,prot.3230,0.74,seq.3343.1,0.89,
ACY3_42088,OID42088,ACY3,Q96HD9,3,0.00,0.00,7.04,1.42,0.10,22.00,0.89,0.65,0.85,-1.00,3.59,0.00,0.99,FALSE,FALSE,0.45,0.45,0.45,,,seq.21781.9,0.52,
ACYP1_44438,OID44438,ACYP1,P07311,5,0.07,19.57,17.09,1.66,0.22,22.00,1.91,0.52,1.86,0.28,4.90,0.00,1.00,TRUE,TRUE,0.63,0.63,0.64,,,seq.20370.6,0.77,1
